,mean read quality,mean depth of coverage,breadth of coverage,expected breadth of coverage
SRR8482585,36.93,92.68,99.9542,100.0
SRR8494940,16.44,290.32,100.0,100.0
SRR8494940-t-200X,-,187.95,100.0,100.0
SRR8494940-t-150X,-,140.93,100.0,100.0
SRR8494940-t-100X,-,93.92,99.9999,100.0
SRR8494940-t-80X,-,75.18,99.9999,100.0
SRR8494940-t-60X,-,56.33,99.9995,100.0
SRR8494940-t-40X,-,37.58,99.9993,100.0
SRR8494940-t-20X,-,18.82,99.999,100.0
SRR8494940-t-15X,-,13.54,99.9977,100.0
SRR8494940-t-10X,-,9.07,99.9901,99.99
SRR8494940-t-8X,-,7.24,99.7665,99.93
SRR8494940-t-6X,-,5.44,99.3282,99.57
SRR8494940-t-4X,-,3.77,98.1558,97.7
SRR8494940-t-2X,-,1.88,85.6554,84.7
SRR8494940-t-1X,-,0.94,61.3526,60.77
SRR8482567,36.69,75.04,88.4955,100.0
SRR8494915,16.24,289.38,89.778,100.0
QNFLR056AF,34.08,499.56,99.9994,100.0
QNFLR049AW~guppy3210,19.58,547.76,99.998,100.0
QNFLR049AW~guppy3210-t-200X,-,204.44,99.998,100.0
QNFLR049AW~guppy3210-t-150X,-,153.39,99.9977,100.0
QNFLR049AW~guppy3210-t-100X,-,102.32,99.9887,100.0
QNFLR049AW~guppy3210-t-80X,-,81.81,99.9967,100.0
QNFLR049AW~guppy3210-t-60X,-,61.36,99.9959,100.0
QNFLR049AW~guppy3210-t-40X,-,40.9,99.9922,100.0
QNFLR049AW~guppy3210-t-20X,-,20.48,99.9778,100.0
QNFLR049AW~guppy3210-t-15X,-,15.31,99.9927,100.0
QNFLR049AW~guppy3210-t-10X,-,10.25,99.9854,100.0
QNFLR049AW~guppy3210-t-8X,-,8.16,99.9767,99.97
QNFLR049AW~guppy3210-t-6X,-,6.14,99.3809,99.78
QNFLR049AW~guppy3210-t-4X,-,4.11,98.3353,98.36
QNFLR049AW~guppy3210-t-2X,-,2.04,89.6517,87.06
QNFLR049AW~guppy3210-t-1X,-,1.06,64.0207,65.5
QNFLR049AW~guppy4011,24.01,551.34,99.9979,100.0
QNFLR049AW~guppy4011-t-200X,-,205.94,99.9974,100.0
QNFLR049AW~guppy4011-t-150X,-,154.22,99.9954,100.0
QNFLR049AW~guppy4011-t-100X,-,102.92,99.9977,100.0
QNFLR049AW~guppy4011-t-80X,-,82.28,99.9962,100.0
QNFLR049AW~guppy4011-t-60X,-,61.76,99.9885,100.0
QNFLR049AW~guppy4011-t-40X,-,41.19,99.9937,100.0
QNFLR049AW~guppy4011-t-20X,-,20.57,99.9919,100.0
QNFLR049AW~guppy4011-t-15X,-,15.46,99.9959,100.0
QNFLR049AW~guppy4011-t-10X,-,10.31,99.9829,100.0
QNFLR049AW~guppy4011-t-8X,-,8.25,99.983,99.97
QNFLR049AW~guppy4011-t-6X,-,6.18,99.437,99.79
QNFLR049AW~guppy4011-t-4X,-,4.12,98.0841,98.37
QNFLR049AW~guppy4011-t-2X,-,2.08,84.3269,87.48
QNFLR049AW~guppy4011-t-1X,-,1.06,67.4871,65.4
